,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Contract Valid Until,Height,Weight,Release Clause
56,142998,C. Muñoz,41,Argentina,68,68,CD Universidad de Concepción,60.0,1,Right,1.0,1.0,GK,2013,01/01/2018,5.833333333,161.0,84.0
57,143076,A. Gómez,30,Argentina,84,84,Atalanta,30000.0,53,Right,3.0,4.0,LS,2014,01/01/2022,5.416666667,150.0,51000.0
58,144429,O. Wendt,32,Sweden,76,76,Borussia Mönchengladbach,4300.0,24,Left,2.0,3.0,LB,2011,01/01/2019,5.916666667,181.0,7200.0
59,144622,Raffael,33,Brazil,81,81,Borussia Mönchengladbach,11000.0,41,Right,2.0,4.0,CF,2013,01/01/2019,5.75,152.0,18700.0
60,145047,Bruno Saltor,37,Spain,74,74,Brighton & Hove Albion,650.0,25,Right,1.0,3.0,RB,2012,01/01/2019,5.916666667,168.0,1200.0
61,145996,Seoane,35,Spain,74,74,CD Lugo,1300.0,6,Right,1.0,2.0,RDM,2012,01/01/2021,5.833333333,165.0,2100.0
62,146453,Raúl Cámara,34,Spain,68,68,CD Tenerife,250.0,4,Right,1.0,3.0,RB,2013,01/01/2019,5.583333333,141.0,400.0
63,146462,Jorge García,34,Spain,68,68,CF Rayo Majadahonda,270.0,3,Left,1.0,2.0,CB,2017,01/01/2019,6.0,174.0,419.0
64,146521,Ripa,32,Spain,69,69,CD Numancia,575.0,5,Left,1.0,2.0,LB,2011,01/01/2019,5.833333333,161.0,920.0
65,146530,Dani Alves,35,Brazil,82,82,Paris Saint-Germain,4800.0,62,Right,4.0,4.0,RB,2017,01/01/2019,5.666666667,150.0,8900.0
66,146536,Jesús Navas,32,Spain,80,80,Sevilla FC,11500.0,22,Right,2.0,3.0,RM,2017,01/01/2021,5.583333333,132.0,24200.0
67,146947,Vesga,25,Spain,72,77,CD Leganés,3500.0,14,Left,1.0,3.0,CDM,2016,30/06/2019,6.25,185.0,4585.060806
68,146952,Iván Cuéllar,34,Spain,76,76,CD Leganés,3100.0,21,Left,1.0,1.0,GK,2017,01/01/2019,6.166666667,168.0,6500.0
69,146974,Miguel Flaño,33,Spain,67,67,CA Osasuna,300.0,4,Right,1.0,2.0,CB,2004,01/01/2019,5.833333333,154.0,480.0
70,146996,Rubén,34,Spain,68,68,CA Osasuna,375.0,3,Right,1.0,1.0,GK,2018,01/01/2019,6.166666667,179.0,600.0
71,147782,I. Denisov,34,Russia,80,80,Lokomotiv Moscow,4500.0,1,Right,2.0,3.0,RDM,2013,01/01/2019,5.75,154.0,9400.0
73,150106,A. Papadopoulos,33,Greece,68,68,Brisbane Roar,375.0,3,Right,2.0,2.0,LCB,2017,01/01/2019,6.083333333,174.0,469.0
74,150724,J. Hart,31,England,79,79,Burnley,7500.0,45,Right,3.0,1.0,GK,2018,01/01/2020,6.416666667,201.0,14300.0
75,150995,B. Rotenberg,32,Finland,63,63,Lokomotiv Moscow,200.0,1,Right,1.0,2.0,RB,2016,01/01/2019,6.166666667,185.0,420.0
76,152211,R. Özcan,34,Austria,75,75,Bayer 04 Leverkusen,2700.0,36,Left,1.0,1.0,GK,2016,01/01/2019,6.0,172.0,4600.0
77,152729,Piqué,31,Spain,87,87,FC Barcelona,34000.0,240,Right,4.0,2.0,RCB,2008,01/01/2022,6.333333333,187.0,69700.0
78,152747,A. Lennon,31,England,76,76,Burnley,7000.0,48,Right,2.0,3.0,RM,2018,01/01/2020,5.416666667,139.0,13300.0
79,152908,A. Young,32,England,79,79,Manchester United,7000.0,110,Right,2.0,4.0,LB,2011,01/01/2019,5.75,143.0,13000.0
80,153079,S. Agüero,30,Argentina,89,89,Manchester City,64500.0,300,Right,4.0,4.0,ST,2011,01/01/2021,5.666666667,154.0,119300.0
82,155862,Sergio Ramos,32,Spain,91,91,Real Madrid,51000.0,380,Right,4.0,3.0,RCB,2005,01/01/2020,6.0,181.0,104600.0
83,155979,R. McCormack,31,Scotland,72,72,Central Coast Mariners,2800.0,16,Right,1.0,3.0,LS,2016,31/05/2019,5.75,163.0,4585.060806
86,156481,T. Moniwa,36,Japan,60,60,Cerezo Osaka,30.0,1,Right,1.0,2.0,CB,2015,01/01/2022,5.916666667,181.0,38.0
87,156519,H. Herrera,28,Mexico,81,81,FC Porto,17500.0,20,Right,3.0,3.0,CM,2013,01/01/2019,6.0,159.0,35000.0
90,156894,D. Pratley,33,England,66,66,Charlton Athletic,375.0,4,Right,1.0,3.0,RCM,2018,01/01/2020,6.083333333,152.0,656.0
91,157304,T. Vermaelen,32,Belgium,77,77,FC Barcelona,5000.0,110,Left,3.0,2.0,CB,2014,01/01/2019,6.0,176.0,10300.0
92,157960,Manuel Fernandes,32,Portugal,81,81,Lokomotiv Moscow,14000.0,1,Right,2.0,4.0,LM,2014,01/01/2019,5.75,165.0,29400.0
93,157978,K. Cissé,34,Mali,65,65,Central Coast Mariners,160.0,1,Right,1.0,2.0,RCB,2018,01/01/2019,6.166666667,187.0,200.0
94,158023,L. Messi,31,Argentina,94,94,FC Barcelona,110500.0,565,Left,5.0,4.0,RF,2004,01/01/2021,5.583333333,159.0,226500.0
95,158133,J. Farfán,33,Peru,79,79,Lokomotiv Moscow,7500.0,1,Right,2.0,4.0,CAM,2017,01/01/2020,5.833333333,185.0,15800.0
96,158172,M. Parensen,32,Germany,67,67,1. FC Union Berlin,425.0,9,Left,1.0,3.0,LB,2009,01/01/2019,5.916666667,174.0,680.0
97,158394,K. Reichel,31,Germany,73,73,1. FC Union Berlin,2600.0,23,Left,1.0,3.0,LB,2018,01/01/2020,6.083333333,183.0,4200.0
98,158657,T. Kessler,32,Germany,71,71,1. FC Köln,1400.0,10,Right,1.0,1.0,GK,2007,01/01/2019,6.5,203.0,2000.0
99,158685,Defendi,32,Brazil,71,71,CD Aves,1400.0,8,Left,1.0,2.0,CB,2017,01/01/2019,6.25,183.0,2900.0
100,158867,A. Gerrard,32,Republic of Ireland,65,65,Carlisle United,300.0,3,Right,1.0,2.0,LCB,2018,01/01/2019,6.166666667,183.0,525.0
103,161805,V. Behrami,33,Switzerland,76,76,Udinese,3100.0,24,Right,2.0,3.0,CM,2017,01/01/2019,6.083333333,172.0,5600.0
104,161956,Borja Valero,33,Spain,81,81,Inter,11000.0,74,Right,3.0,4.0,CAM,2017,01/01/2020,5.75,161.0,18700.0
105,162054,M. Bunn,33,England,69,69,Aston Villa,525.0,7,Right,1.0,1.0,GK,2015,01/01/2019,6.0,170.0,998.0
106,162280,A. Mierzejewski,31,Poland,75,75,Changchun Yatai FC,6000.0,12,Left,2.0,4.0,RM,2018,01/01/2019,5.75,161.0,12900.0
107,162297,D. Padelli,32,Italy,74,74,Inter,3200.0,34,Left,2.0,1.0,GK,2017,01/01/2019,6.25,181.0,5500.0
108,162835,S. Handanovič,33,Slovenia,88,88,Inter,30000.0,110,Right,3.0,1.0,GK,2012,01/01/2021,6.333333333,203.0,51000.0
110,163261,P. Bardsley,33,Scotland,72,72,Burnley,1200.0,32,Right,1.0,3.0,RB,2017,01/01/2019,5.916666667,174.0,2300.0
111,163264,T. Heaton,32,England,79,79,Burnley,7000.0,45,Right,2.0,1.0,GK,2013,01/01/2020,6.166666667,203.0,13300.0
112,163303,G. Whelan,34,Republic of Ireland,70,70,Aston Villa,550.0,10,Right,2.0,2.0,CDM,2017,01/01/2019,5.916666667,176.0,1000.0
113,163407,A. Raggi,34,Italy,75,75,AS Monaco,2000.0,48,Right,2.0,2.0,CB,2012,01/01/2019,6.166666667,181.0,3800.0
114,163581,T. Craig,33,England,65,65,Bristol Rovers,220.0,3,Left,1.0,2.0,LCB,2018,01/01/2019,6.083333333,174.0,385.0
115,163616,J. Young,32,England,67,67,Brisbane Roar,450.0,2,Left,1.0,1.0,GK,2014,01/01/2020,5.916666667,183.0,563.0
116,163619,J. Hayes,30,Republic of Ireland,71,71,Celtic,2200.0,31,Left,1.0,3.0,LM,2017,01/01/2020,5.666666667,161.0,4000.0
117,163670,B. Safari,33,Sweden,70,70,Malmö FF,675.0,4,Left,2.0,3.0,LCB,2016,01/01/2020,5.916666667,163.0,878.0
118,163711,L. Diarra,33,France,80,80,Paris Saint-Germain,6000.0,75,Right,3.0,3.0,CDM,2018,01/01/2019,5.75,163.0,11100.0
119,163856,C. Dagnall,32,England,64,64,Bury,350.0,4,Right,1.0,2.0,ST,2018,01/01/2019,5.666666667,165.0,613.0
121,164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000.0,165,Right,4.0,2.0,RCB,2012,01/01/2020,6.0,181.0,44400.0
122,164467,J. Ward,32,Northern Ireland,67,67,Charlton Athletic,600.0,17,Right,1.0,3.0,ST,2016,01/01/2019,5.416666667,130.0,4585.060806
123,164468,G. Cahill,32,England,80,80,Chelsea,8500.0,99,Right,3.0,2.0,CB,2012,01/01/2019,6.333333333,194.0,15700.0
124,164470,Pita,33,Spain,70,70,CD Lugo,725.0,5,Right,1.0,2.0,CDM,2010,01/01/2021,6.166666667,179.0,1200.0
125,164471,Xisco,32,Spain,71,71,CA Osasuna,1900.0,8,Right,1.0,3.0,ST,2017,01/01/2019,6.166666667,168.0,3000.0
126,164484,J. Dahlin,31,Sweden,71,71,Malmö FF,1400.0,4,Right,1.0,1.0,GK,2017,01/01/2020,6.25,198.0,1900.0
127,164626,T. Kristensen,35,Denmark,70,70,Brisbane Roar,425.0,3,Right,1.0,3.0,RDM,2016,01/01/2019,6.166666667,174.0,531.0
128,164645,S. Dawson,32,Republic of Ireland,62,62,Bury,230.0,3,Right,1.0,2.0,CM,2017,01/01/2020,6.0,157.0,403.0
129,164857,Edinho,35,Portugal,73,73,CD Feirense,1800.0,9,Right,1.0,3.0,ST,2018,01/01/2019,6.0,163.0,3900.0
130,165109,S. Radu,31,Romania,80,80,Lazio,10000.0,51,Left,2.0,3.0,LCB,2008,01/01/2020,6.0,174.0,17000.0
131,165153,K. Benzema,30,France,85,85,Real Madrid,37000.0,240,Right,4.0,4.0,ST,2009,01/01/2021,6.083333333,179.0,75900.0
133,165321,S. Ward,32,Republic of Ireland,75,75,Burnley,3700.0,42,Left,2.0,3.0,LB,2014,01/01/2019,6.083333333,176.0,7000.0
135,165509,B. Clarke,30,Republic of Ireland,66,66,Charlton Athletic,625.0,4,Left,1.0,3.0,ST,2017,01/01/2019,5.583333333,141.0,1100.0
136,165738,J. Kennedy,31,England,63,63,Carlisle United,325.0,3,Right,1.0,2.0,CM,2015,01/01/2019,6.083333333,165.0,569.0
137,165894,Yang Dong Hyen,32,Korea Republic,65,65,Cerezo Osaka,425.0,3,Right,1.0,3.0,ST,2018,01/01/2023,6.083333333,176.0,531.0
138,166841,N. Adams,31,Wales,65,65,Bury,475.0,4,Right,1.0,3.0,RWB,2018,01/01/2019,5.75,154.0,831.0
139,166848,N. Danns,35,Guyana,63,63,Bury,150.0,2,Right,1.0,2.0,CM,2016,01/01/2019,5.75,172.0,263.0
141,167397,Falcao,32,Colombia,84,84,AS Monaco,25000.0,115,Right,3.0,3.0,RS,2013,01/01/2020,5.833333333,159.0,47500.0
142,167495,M. Neuer,32,Germany,89,89,FC Bayern München,38000.0,130,Right,5.0,1.0,GK,2011,01/01/2021,6.333333333,203.0,62700.0
143,167514,D. Basta,33,Serbia,77,77,Lazio,3400.0,41,Right,2.0,3.0,RB,2014,01/01/2023,6.0,159.0,5800.0
144,167664,G. Higuaín,30,Argentina,88,88,Milan,57000.0,245,Right,4.0,3.0,LS,2016,30/06/2019,6.083333333,196.0,4585.060806
145,167694,M. Connolly,30,England,67,67,Cardiff City,550.0,13,Right,1.0,2.0,RB,2012,01/01/2020,6.166666667,185.0,1100.0
146,167905,A. Valencia,32,Ecuador,81,81,Manchester United,10000.0,120,Right,2.0,3.0,RM,2009,01/01/2019,5.916666667,183.0,18500.0
147,168312,I. Abate,31,Italy,77,77,Milan,6000.0,68,Right,2.0,3.0,RB,2009,01/01/2019,5.916666667,161.0,10200.0
148,168542,David Silva,32,Spain,90,90,Manchester City,60000.0,285,Left,4.0,4.0,LCM,2010,01/01/2020,5.666666667,148.0,111000.0
149,168607,Rafinha,32,Brazil,76,76,FC Bayern München,4300.0,53,Right,2.0,3.0,RB,2011,01/01/2019,5.666666667,150.0,7000.0
150,168609,Miranda,33,Brazil,85,85,Inter,15500.0,96,Right,3.0,2.0,CB,2017,01/01/2020,6.083333333,172.0,26400.0
151,168633,D. Grainger,31,England,63,63,Carlisle United,240.0,3,Left,1.0,2.0,LB,2014,01/01/2019,5.833333333,172.0,420.0
152,168650,Z. Kuzmanović,30,Serbia,71,71,FC Basel 1893,2200.0,17,Right,2.0,3.0,CM,2015,01/01/2023,6.083333333,176.0,3300.0
153,168651,I. Rakitić,30,Croatia,87,87,Fc Barcelona,46500.0,260,Right,4.0,3.0,RCM,2014,01/01/2021,6.0,172.0,95300.0
154,168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,46500.0,260,Right,4.0,3.0,RCM,2014,01/01/2021,6.0,172.0,95300.0
155,169115,A. Masiello,32,Italy,79,79,Atalanta,7000.0,30,Right,2.0,2.0,CB,2011,01/01/2023,6.0,181.0,11900.0
156,169214,S. Sinclair,29,England,75,75,Celtic,6500.0,48,Right,2.0,4.0,LM,2016,01/01/2020,5.833333333,154.0,11700.0
157,169345,M. Suttner,31,Austria,73,73,Brighton & Hove Albion,2600.0,33,Left,1.0,3.0,LB,2017,01/01/2020,5.833333333,161.0,5000.0
158,169404,J. Fejzić,32,Bosnia Herzegovina,69,69,1. FC Magdeburg,600.0,6,Right,1.0,1.0,GK,2018,01/01/2020,6.5,209.0,930.0
161,169447,M. McGlinchey,31,New Zealand,62,62,Central Coast Mariners,270.0,1,Right,1.0,3.0,CAM,2018,01/01/2020,5.75,150.0,338.0
162,169493,F. Fielding,30,England,69,69,Bristol City,675.0,14,Right,1.0,1.0,GK,2013,01/01/2019,6.083333333,168.0,1300.0
163,169575,L. Peltier,31,England,69,69,Cardiff City,700.0,19,Right,1.0,2.0,RB,2015,01/01/2020,5.833333333,161.0,1400.0
164,169619,G. Liddle,32,England,65,65,Carlisle United,300.0,3,Right,1.0,2.0,RCB,2017,01/01/2019,6.083333333,174.0,525.0
165,169706,J. Cork,29,England,78,78,Burnley,10000.0,58,Right,2.0,3.0,RCM,2017,01/01/2021,6.0,165.0,19000.0
166,169721,M. Richards,30,England,68,68,Aston Villa,675.0,8,Right,2.0,2.0,CB,2015,01/01/2019,5.916666667,183.0,1300.0
167,169843,B. Turner,29,England,68,68,Burton Albion,700.0,5,Left,1.0,2.0,CB,2016,01/01/2019,6.333333333,201.0,1200.0
168,169912,B. Moore,29,England,62,62,Bury,300.0,3,Right,1.0,2.0,RS,2018,01/01/2019,5.75,159.0,525.0
169,170309,F. Piovaccari,33,Italy,64,64,Córdoba CF,280.0,3,Right,1.0,2.0,ST,2018,01/01/2019,5.916666667,170.0,434.0
170,170569,David Rodríguez,32,Spain,69,69,CA Osasuna,850.0,6,Right,1.0,3.0,ST,2017,01/01/2020,5.833333333,165.0,1400.0
171,170636,A. Lithgow,30,Scotland,66,66,Livingston FC,475.0,2,Right,1.0,2.0,LCB,2018,01/01/2020,6.083333333,187.0,831.0
172,170815,S. Defour,30,Belgium,80,80,Burnley,13500.0,65,Right,2.0,3.0,LCM,2016,01/01/2019,5.75,159.0,25700.0
174,170890,B. Matuidi,31,France,85,85,Juventus,26000.0,145,Left,3.0,2.0,LM,2017,01/01/2020,5.916666667,165.0,42900.0
175,171019,D. Forde,38,Republic of Ireland,65,65,Cambridge United,40.0,2,Right,1.0,1.0,GK,2017,01/01/2019,6.166666667,198.0,70.0
176,171067,Rafa López,33,Spain,71,71,CF Rayo Majadahonda,950.0,5,Right,1.0,2.0,RCB,2018,01/01/2019,5.833333333,159.0,1500.0
177,171189,Aythami Artiles,32,Spain,72,72,Córdoba CF,1800.0,7,Right,1.0,2.0,LCB,2018,01/01/2020,6.0,172.0,2800.0
178,171315,Alfaro,31,Spain,69,69,Córdoba CF,925.0,5,Right,1.0,3.0,RM,2016,01/01/2019,5.75,161.0,1400.0
180,171490,S. Aresti,32,Italy,67,67,Cagliari,450.0,8,Right,1.0,1.0,GK,2018,01/01/2020,6.166666667,172.0,765.0
181,171565,Linares,35,Spain,69,69,CF Reus Deportiu,475.0,4,Right,1.0,2.0,ST,2018,01/01/2019,5.916666667,172.0,736.0
182,171774,Luso,33,Spain,72,72,CF Rayo Majadahonda,1300.0,5,Right,1.0,2.0,LCB,2018,01/01/2019,6.0,165.0,2000.0
183,171833,D. Sturridge,28,England,80,80,Liverpool,15500.0,125,Left,3.0,4.0,ST,2013,01/01/2019,5.916666667,168.0,29500.0
184,171900,F. Schönheim,31,Germany,68,68,1. FC Union Berlin,600.0,11,Left,1.0,2.0,CB,2013,01/01/2019,6.25,203.0,960.0
185,171970,E. Upson,28,England,65,65,Bristol Rovers,525.0,3,Right,1.0,3.0,CM,2018,01/01/2020,5.916666667,161.0,919.0
186,171992,Juan Carlos,30,Spain,68,68,CD Numancia,575.0,4,Right,1.0,1.0,GK,2018,01/01/2020,6.0,168.0,920.0
187,172041,T. Mikkelsen,31,Denmark,67,67,Brisbane Roar,675.0,3,Right,1.0,3.0,LM,2018,01/01/2019,5.833333333,161.0,844.0
188,172178,B. Corr,33,Republic of Ireland,63,63,Cambridge United,230.0,4,Right,1.0,2.0,ST,2018,01/01/2018,6.25,174.0,403.0
189,172411,Servando,34,Spain,69,69,Cádiz CF,325.0,5,Right,1.0,2.0,CB,2014,01/01/2019,5.916666667,165.0,520.0
190,172425,S. Bamba,33,Ivory Coast,75,75,Cardiff City,2700.0,38,Right,1.0,2.0,LCB,2016,01/01/2020,6.25,190.0,5400.0
191,172680,S. Sinclair,30,England,60,60,Bristol Rovers,190.0,2,Right,1.0,2.0,CM,2014,01/01/2019,5.583333333,148.0,333.0
192,172716,Alex López,30,Spain,70,70,Brisbane Roar,1600.0,4,Right,1.0,3.0,LDM,2018,01/01/2019,5.833333333,157.0,2100.0
193,172823,N. Maynard,31,England,67,67,Bury,675.0,6,Right,1.0,3.0,LS,2018,01/01/2019,5.916666667,154.0,1200.0
194,172835,M. Andreolli,32,Italy,74,74,Cagliari,3200.0,25,Right,2.0,2.0,CB,2017,01/01/2019,6.166666667,176.0,5500.0
195,172837,E. Alfonso,30,Italy,68,68,Brescia,575.0,2,Right,1.0,1.0,GK,2018,01/01/2021,6.25,192.0,891.0
196,172879,Sokratis,30,Greece,84,84,Arsenal,23000.0,140,Right,3.0,2.0,RCB,2018,01/01/2021,6.083333333,187.0,43700.0
197,172904,L. Tomlin,29,England,70,70,Cardiff City,1700.0,25,Right,1.0,3.0,CAM,2017,01/01/2020,5.916666667,163.0,3500.0
198,172928,C. Lines,32,England,66,66,Bristol Rovers,475.0,4,Right,1.0,3.0,CM,2015,01/01/2019,6.166666667,174.0,831.0
199,172937,G. Murray,34,England,77,77,Brighton & Hove Albion,4700.0,51,Right,1.0,2.0,ST,2017,01/01/2020,6.0,176.0,8900.0
200,172962,V. Moses,27,Nigeria,78,78,Chelsea,11000.0,105,Right,2.0,4.0,RW,2012,01/01/2021,5.833333333,170.0,20400.0
201,173146,L. Cigarini,32,Italy,75,75,Cagliari,5000.0,29,Right,2.0,3.0,CM,2017,01/01/2019,5.75,159.0,8500.0
202,173147,D. Dessena,31,Italy,70,70,Cagliari,1500.0,17,Right,2.0,3.0,LCM,2012,01/01/2019,6.0,165.0,2600.0
203,173179,Torrejón,32,Spain,72,72,1. FC Union Berlin,1800.0,20,Right,1.0,2.0,CB,2017,01/01/2019,6.166666667,194.0,2900.0
204,173221,A. Candreva,31,Italy,81,81,Inter,15500.0,74,Right,3.0,4.0,RM,2016,01/01/2021,5.916666667,154.0,26400.0
205,173245,R. Fernández,33,Argentina,70,70,CD O'Higgins,1000.0,4,Right,1.0,3.0,LCM,2018,01/01/2018,5.666666667,157.0,1400.0
206,173325,De las Cuevas,32,Spain,70,70,Córdoba CF,1300.0,6,Right,1.0,3.0,LM,2018,01/01/2019,5.75,152.0,2100.0
207,173373,S. Romero,31,Argentina,80,80,Manchester United,9000.0,91,Right,3.0,1.0,GK,2015,01/01/2021,6.333333333,192.0,16700.0
